Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359769aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359771aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359772aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359773aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359775aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359776aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359778aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359779aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359780aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359781aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359783aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359784aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359785aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359786aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359787aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359788aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359789aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359790aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359791aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359795aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359796aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359797aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359798aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359802aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359803aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359804aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359809aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC2_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC3_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC4_MWY-24-5969-02-b_human_DIA_Astral_2.mzML
A0A024R1R8;Q9Y2S6	Q9Y2S6;A0A024R1R8	TMA7B_HUMAN;TMA7_HUMAN	TMA7;TMA7B	Translation machinery-associated protein 7B	465969	479595	429876	375865	473071	455688	462554	620406	229410	558768	476848	373738	483101	550808	389794	600625	450591	555744	402122	394321	497072	503253	394066	370490	535446	355618	896244	399483	575768	568583	599043
A0A024R6N5;A0A0G2JRN3	A0A024R6N5;A0A0G2JRN3	A0A024R6N5_HUMAN;A0A0G2JRN3_HUMAN	SERPINA1	Alpha-1-antitrypsin	NA	NA	NA	NA	NA	1486760	5557.79	6004.11	NA	NA	NA	NA	NA	NA	NA	699562	45230.6	22396.3	NA	14391.4	6162.73	NA	4764.48	NA	NA	NA	NA	91523.8	111833	85662.2	92313.8
A0A024RBG1	A0A024RBG1	NUD4B_HUMAN	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	32536.8	31315.1	29366.8	NA	23878.1	23394.8	25853	28870.6	13944.3	39553.4	NA	24346.6	23453.6	28171	21878.5	33299.9	47959.3	29157.1	30203.6	31644.5	36421.4	20563.6	33583.9	21109.5	24373.3	38821.5	42693.7	28734	23332.6	32327.7	33532.7
A0A075B6H7	P01624;A0A075B6H7;A0A0C4DH55;A0A0C4DH90	KV37_HUMAN	IGKV3-7	Probable non-functional immunoglobulin kappa variable 3-7	2339110	2058340	1539420	1764450	848232	2074990	1841420	2962120	6541020	1295720	12886500	5043880	715073	1779690	926996	2458270	1290900	2220360	1520000	1214220	1576750	1751770	1875970	498231	1345110	1752340	1359250	2876200	2796040	2292810	2381900
A0A075B6H9	A0A075B6H9	LV469_HUMAN	IGLV4-69	Immunoglobulin lambda variable 4-69	389776	254079	355785	263474	157171	299025	360719	167799	413674	171798	956130	453742	87165.1	208915	171291	78618.3	161327	116006	166344	87939.5	309911	351065	275942	111420	230665	161990	211866	339795	306272	338883	340577
A0A075B6I0	A0A075B6I0	LV861_HUMAN	IGLV8-61	Immunoglobulin lambda variable 8-61	184396	233549	108673	204112	16037.1	233386	168643	106556	453046	162592	409603	273731	52388.5	NA	121424	160368	106614	82154.6	NA	110145	58778.4	NA	82947.5	135763	252999	70395.1	114304	209272	226869	201904	202895
A0A075B6I4	A0A075B6I4	LVX54_HUMAN	IGLV10-54	Immunoglobulin lambda variable 10-54	NA	26190.5	23376.6	16271	NA	NA	NA	17204.1	19915.1	10295.4	42492.5	29862.3	NA	NA	15673.2	22375.1	NA	61305.6	NA	16728.2	57287.9	32130.2	16866.7	14005.9	41545.3	NA	NA	NA	29771.9	35811.4	28022.9
A0A075B6I9	A0A075B6I9	LV746_HUMAN	IGLV7-46	Immunoglobulin lambda variable 7-46	583340	498630	460813	362617	152800	267171	462838	300000	399657	263601	1613270	651669	106898	328101	235263	232377	183884	487105	262692	285506	319050	589106	374785	322377	231333	376623	323667	575251	668124	716111	685139
A0A075B6J1	A0A075B6J1	LV537_HUMAN	IGLV5-37	Immunoglobulin lambda variable 5-37	5052.7	6496.41	NA	NA	NA	NA	NA	NA	NA	4076.04	NA	8195.4	NA	NA	NA	NA	NA	NA	NA	6094.57	8053.49	2663.27	NA	6488.87	2461.04	NA	NA	NA	6245.86	4011.49	NA
A0A075B6J2	A0A075B6J2	LV233_HUMAN	IGLV2-33	Probable non-functional immunoglobulin lambda variable 2-33	NA	14215.8	NA	NA	NA	NA	NA	NA	10844.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9299.61	NA	NA	NA	NA	NA	NA	6857.13	NA	NA
A0A075B6J9	A0A075B6J9	LV218_HUMAN	IGLV2-18	Immunoglobulin lambda variable 2-18	50988.7	50822.1	22394.6	27530.8	9382.59	29476.7	23645.1	67577.7	24992.8	16183.3	106883	29904.2	11734.4	31961.1	16103.5	11388.3	13176.6	24997.7	16933.7	26227.6	32958.6	37497.2	35698	58971.3	62927.2	39473.7	18718.5	59852.8	49932.1	49755.2	31715.2
A0A075B6K0	A0A075B6K0	LV316_HUMAN	IGLV3-16	Immunoglobulin lambda variable 3-16	18024.5	NA	NA	NA	NA	NA	3594.77	NA	13024.8	NA	37442	9151.31	NA	NA	NA	4667.7	82581.4	15162.1	6413.22	2630.98	5135.31	6393.75	NA	NA	NA	NA	NA	15606.4	9073.33	NA	NA
A0A075B6K4	A0A075B6K0;A0A075B6K4	LV310_HUMAN	IGLV3-10	Immunoglobulin lambda variable 3-10	281530	261082	386231	275666	92893.8	201005	218979	129058	494003	134783	1722310	570885	49266.6	209881	199255	616375	210033	330275	85218	131420	260516	190002	163120	347012	482938	116326	110773	405337	408035	401053	381752
A0A075B6K5	A0A075B6K5	LV39_HUMAN	IGLV3-9	Immunoglobulin lambda variable 3-9	120519	195893	96492.8	120271	78502.4	143925	134296	193936	170959	78898.4	1133510	138970	31779.8	110174	41885.7	72052.3	91287.8	128030	54370.2	82174.2	130903	110407	98155.8	126339	138251	160883	111501	157547	200296	187513	186579
A0A075B6P5;P01615	P01615;A0A075B6P5	KV228_HUMAN;KVD28_HUMAN	IGKV2-28;IGKV2D-28	Immunoglobulin kappa variable 2-28	1201430	1360100	794713	1797400	466875	1770700	1445070	1016550	2403700	1031160	7267280	1260430	225117	1302840	555488	673660	934468	1022370	685038	819584	1093600	949254	830062	523278	848348	932513	738541	1601470	1627610	1651390	1667310
